TANGGAL,KODE BARANG,NAMA BARANG,PENJUALAN,HARGA,CUSTOMER,NO. INVOICE
3-Jan-21,A001,Amplop PPL 90PPS,25,  26.000 ,BPKAD KAB. SORONG,
3-Jan-21,A018,Binder Clips Joyko 107,102,  4.000 ,BPKAD KAB. SORONG,
3-Jan-21,A019,Binder Clips Joyko 111,94,  6.000 ,BPKAD KAB. SORONG,
3-Jan-21,A020,Binder Clips Joyko 155,82,  7.000 ,BPKAD KAB. SORONG,
3-Jan-21,A032,Binder Clips V-tec 155,39,  6.500 ,PT. PMP,
3-Jan-21,A033,Binder Clips V-tec 200,87,  11.500 ,PT. PMP,
3-Jan-21,A040,Binder Clips Trigonal Kenko No.5,22,  6.500 ,PT. PMP,
3-Jan-21,A044,Block Notes PPL A5 50,107,  45.000 ,BPKAD KAB. SORONG,
3-Jan-21,A065,Buku Octavo PPL 50,36,  25.000 ,BPKAD KAB. SORONG,
3-Jan-21,A070,Buku Octavo Ria 100,42,  40.000 ,PT. PMP,
3-Jan-21,A077,Buku Folio 50 PPL,22,  55.000 ,BPKAD KAB. SORONG,
3-Jan-21,A078,Buku Folio 100 Borneo,90,  86.000 ,PT. PMP,
3-Jan-21,A080,Buku Folio 25 Ria,97,  23.000 ,BPKAD KAB. SORONG,
3-Jan-21,A080,Buku Folio 25 Ria,144,  23.000 ,PT. ANJ,
3-Jan-21,A115,Box File Joyko Kawat,35,  27.500 ,PT. ANJ,
3-Jan-21,A119,Correction Tape V-tec Besar,50,  6.000 ,PT. ANJ,
3-Jan-21,A120,Cutter Joyko L-500,66,  16.000 ,PT. ANJ,
3-Jan-21,A121,Cutter Joyko A-300,24,  8.000 ,PT. ANJ,
3-Jan-21,A163,Isi Binder SIDU A5,119,  8.000 ,PT. PMP,
3-Jan-21,A169,Kertas SIDU Quarto 70 Gsm,30,  40.000 ,PT. PMP,
3-Jan-21,A170,Kertas Sidu A4 70 Gsm,20,  47.000 ,BPKAD KAB. SORONG,
3-Jan-21,A170,Kertas Sidu A4 70 Gsm,20,  47.000 ,PT. PMP,
3-Jan-21,A171,Kertas SIDU F4 70 Gsm,10,  51.500 ,BPKAD KAB. SORONG,
3-Jan-21,A171,Kertas SIDU F4 70 Gsm,5,  51.500 ,PT. PMP,
3-Jan-21,A182,Kertas Buffalo F4,25,  38.000 ,BPKAD KAB. SORONG,
3-Jan-21,A183,Kertas Buffalo A4,5,  32.000 ,BPKAD KAB. SORONG,
3-Jan-21,A199,Kertas Sticker Vinyl F4,55,  100.000 ,PT. PMP,
3-Jan-21,A270,Pulpen Snowman V1 Merah,64,  3.000 ,BPKAD KAB. SORONG,
3-Jan-21,A280,Pulpen Pilot Std Hitam,14,  3.000 ,BPKAD KAB. SORONG,
3-Jan-21,A295,Penyekat Buku Joyko,96,  6.000 ,BPKAD KAB. SORONG,
4-Jan-21,A003,Amplop Garda 90PPS,63,  25.000 ,SD INPRES SORONG,
4-Jan-21,A015,Amplop Cokelat Polos B5,100,  35.000 ,DINAS PENDIDIKAN - KAB. SORONG,
4-Jan-21,A020,Binder Clips Joyko 155,140,  7.000 ,DINAS PENDIDIKAN - KAB. SORONG,
4-Jan-21,A021,Binder Clips Joyko 200,21,  12.000 ,DINAS PENDIDIKAN - KAB. SORONG,
4-Jan-21,A044,Block Notes PPL A5 50,44,  45.000 ,SD INPRES SORONG,
4-Jan-21,A050,Block Notes Borneo A5 100,78,  68.000 ,SD INPRES SORONG,
4-Jan-21,A050,Block Notes Borneo A5 100,75,  68.000 ,PERCETAKAN ADORA SORONG 1,
